Plate,Year,Make,Model,Submodel,Type,Odometer,Colour,Fuel,Transmission,Drive,FirstNZRegistration,OriginalCountry,PreviousCountry,NumberOfOwners,RRPVehicle,RRP,ResidualValue,LowValue,AverageValue,HighValue,Confidence,Plate,VIN,ModelCode,VehicleID,ErrorCode,Explanation,LabelVersion,LabelID,LastRegUpdate,ModelCode,Variant,Make,Model,SubModel,VehicleType,Seats,Doors,LabelFormat,FuelType,EngineSize,EnginePower,Transmission,Drive,Weight,FuelStars,FuelConsumption,YearlyCost,RUCrate,RUC,CO2Stars,CO2,YearlyCO2,SafetyStars,DriverSafetyStars,DriverSafetyTest,FuelPromoBadge,SafetyPromoBadge,LikeVehicle,Item,Chassis,mvrYear,mvrFirstNZreg,mvrOrigCntry,mvrPrevCntry,mvrRegType,mvrRegExpires,mvrWOFExpires,mvrODO,mvrTotOwners,mvrColourBase,mvrColourSecondary,mvrRegMake,mvrRegModel,mvrRegSubModel,SubmodelSpec,CreatedDateUTC,LastUpdatedUTC,IsCached
KTH892,2017,HYUNDAI,TUCSON,2.0 CRDi,SUV(Medium),112105,WHITE,Diesel,6-gear automatic,4WD,12/09/2017 0:00,CZE,,1,2017 Hyundai TUCSON 2.0 CRDi (D7W52EC5GD),51990,0.382450747,17850,19850,21250,80,KTH892,TMAJ281ASJJ438305,D7W52EC5GD;,1004dfb6-ec84-4e35-8a4c-ac8e687ab781,0,,2023(a),,17/01/2024,D7W52EC5GD;,0,HYUNDAI,TUCSON,2.0 CRDi,SUV(Medium),5,5,,Diesel,1995,136,6-gear automatic,4WD,2250,5,7.4,3140,76,1064,4,196,2.74,8,10,Based on 2023 UCSR rating for 15-20 models,,safety-star-4.png,8|84||7|86||6|78||5|70||15|2635||13|2581||24|4887||25|4911||26|4909||27|4906||,53884,,2017,11/09/2017,CZE,,L,10/09/2024,5/09/2024,112105,1,WHITE,,HYUNDAI,TUCSON,2.0 CRDI 2.0D/4WD/6A,2.0D/4WD/6AT/SV/5DR/5S,,,
KTH891,2017,HYUNDAI,TUCSON,2.0 CRDi,SUV(Medium),108970,WHITE,Diesel,6-gear automatic,4WD,12/09/2017 0:00,CZE,,1,2017 Hyundai TUCSON 2.0 CRDi (D7W52EC5GD),51990,0.383547569,17900,19900,21300,80,KTH891,TMAJ281ASJJ430417,D7W52EC5GD;,e3c96dcb-022f-43d2-9681-372fd73ca9ab,0,,2023(a),,14/08/2024,D7W52EC5GD;,0,HYUNDAI,TUCSON,2.0 CRDi,SUV(Medium),5,5,,Diesel,1995,136,6-gear automatic,4WD,2250,5,7.4,3140,76,1064,4,196,2.74,8,10,Based on 2023 UCSR rating for 15-20 models,,safety-star-4.png,8|84||7|86||6|78||5|70||15|2635||13|2581||24|4887||25|4911||26|4909||27|4906||,53884,,2017,11/09/2017,CZE,,L,10/09/2025,24/10/2024,108970,1,WHITE,,HYUNDAI,TUCSON,2.0 CRDI 2.0D/4WD/6A,2.0D/4WD/6AT/SV/5DR/5S,,,
KCH257,2016,HYUNDAI,TUCSON,2.0 CRDi,SUV(Medium),109266,SILVER,Diesel,6-gear automatic,4WD,26/09/2016 0:00,CZE,,2,2016 Hyundai TUCSON 2.0 CRDi (D7W52EC5GD),51990,0.341891961,15950,17750,19000,80,KCH257,TMAJ281ASHJ145381,D7W52EC5GD;,ba42afcd-5b2f-4aa5-a74d-e0ab3ea17880,0,,2023(a),,17/01/2024,D7W52EC5GD;,0,HYUNDAI,TUCSON,2.0 CRDi,SUV(Medium),5,5,,Diesel,1995,136,6-gear automatic,4WD,2250,5,7.4,3140,76,1064,4,196,2.74,8,10,Based on 2023 UCSR rating for 15-20 models,,safety-star-4.png,8|84||7|86||6|78||5|70||15|2635||13|2581||24|4887||25|4911||26|4909||27|4906||,53884,,2016,25/09/2016,CZE,,L,24/09/2024,2/10/2024,109266,2,SILVER,,HYUNDAI,TUCSON,2.0 CRDI 2.0D/4WD/6A,2.0D/4WD/6AT/SV/5DR/5S,,,
JNU893,2016,HYUNDAI,TUCSON,2.0 CRDi,SUV(Medium),111398,SILVER,Diesel,6-gear automatic,4WD,29/02/2016 0:00,CZE,,1,2016 Hyundai TUCSON 2.0 CRDi (D7W52EC5GD),51990,0.343749003,16050,17850,19100,80,JNU893,TMAJ281ASGJ112627,D7W52EC5GD;,69543ced-9968-41c8-ad1c-41f807c50dcc,0,,2023(a),,14/02/2024,D7W52EC5GD;,0,HYUNDAI,TUCSON,2.0 CRDi,SUV(Medium),5,5,,Diesel,1995,136,6-gear automatic,4WD,2250,5,7.4,3140,76,1064,4,196,2.74,8,10,Based on 2023 UCSR rating for 15-20 models,,safety-star-4.png,8|84||7|86||6|78||5|70||15|2635||13|2581||24|4887||25|4911||26|4909||27|4906||,53884,,2016,28/02/2016,CZE,,L,27/02/2025,13/02/2025,111398,1,SILVER,,HYUNDAI,TUCSON,2.0 CRDI 2.0D/4WD/6A,2.0D/4WD/6AT/SV/5DR/5S,,,
MJY9,2019,HYUNDAI,I30,PDE WAGON CRDI DCT,Car(Small): Station wagon,107423,SILVER,Diesel,7-gear automated manual,,5/09/2019 0:00,CZE,,1,2022 Hyundai i30 CRDi DCT7 (G4W51JC5UG),42990,0.34285258,13850,14700,15750,80,MJY9,TMAH381AVLJ054636,G4W51JC5UG;,bea18a8b-66a6-4afe-bdd3-1a4542265fad,0,,2023(a),,16/08/2024,G4W51JC5UG;,0,HYUNDAI,I30,PDE WAGON CRDI DCT,Car(Small): Station wagon,5,5,,Diesel,1582,100,7-gear automated manual,,1940,7,5.5,2600,76,1064,6,141,1.97,10,0,Based on 2017 ANCAP rating for 18+ models with dual frontal+side+head+knee airbags,,safety-star-5.png,8|84||7|86||6|77||5|70||4|63||15|2630||13|2576||24|4886||25|4892||26|4898||27|4906||,48555,,2019,4/09/2019,CZE,,L,3/09/2025,29/08/2025,107423,1,SILVER,,HYUNDAI,I30,PDE WAGON CRDI DCT 1,1.6D/FWD/7AM/SW/5DR/5S,,,
MJY8,2019,HYUNDAI,I30,PDE WAGON CRDI DCT,Car(Small): Station wagon,105382,SILVER,Diesel,7-gear automated manual,,5/09/2019 0:00,CZE,,1,2022 Hyundai i30 CRDi DCT7 (G4W51JC5UG),42990,0.343559616,13850,14750,15800,80,MJY8,TMAH381AVLJ054635,G4W51JC5UG;,4fd2c2ad-3269-4969-ae0e-e9cbb4193834,0,,2023(a),,16/08/2024,G4W51JC5UG;,0,HYUNDAI,I30,PDE WAGON CRDI DCT,Car(Small): Station wagon,5,5,,Diesel,1582,100,7-gear automated manual,,1940,7,5.5,2600,76,1064,6,141,1.97,10,0,Based on 2017 ANCAP rating for 18+ models with dual frontal+side+head+knee airbags,,safety-star-5.png,8|84||7|86||6|77||5|70||4|63||15|2630||13|2576||24|4886||25|4892||26|4898||27|4906||,48555,,2019,4/09/2019,CZE,,L,3/09/2025,15/08/2025,105382,1,SILVER,,HYUNDAI,I30,PDE WAGON CRDI DCT 1,1.6D/FWD/7AM/SW/5DR/5S,,,
KCH253,2016,HYUNDAI,I30,GDE WAGON CRDI DCT,Car(Small): Station wagon,109095,SILVER,Diesel,7-gear automated manual,,26/09/2016 0:00,KOR,,2,2017 HYUNDAI I30 CRDI DCT7,41990,0.257300973,10150,10800,11550,80,KCH253,TMAD281UVHJ126054,A6W51EC5UD5;,e1a684ac-7104-4d36-b982-d248b1827853,0,,2023(a),,10/05/2024,A6W51EC5UD5;,0,HYUNDAI,I30,GDE WAGON CRDI DCT,Car(Small): Station wagon,5,5,,Diesel,1582,100,7-gear automated manual,,1940,7,5,2460,76,1064,7,131,1.83,8,8,Based on 2023 UCSR rating for 12-17 models,,safety-star-4.png,8|84||7|86||6|77||5|70||4|63||15|2630||13|2576||24|4887||25|4892||26|4898||27|4906||,44349,,2016,25/09/2016,KOR,,L,24/09/2024,24/09/2024,109095,2,SILVER,,HYUNDAI,I30,GDE WAGON CRDI DCT 1,1.6D/FWD/7AM/SW/5DR/5S,,,
KCH256,2016,HYUNDAI,I30,GDE WAGON CRDI DCT,Car(Small): Station wagon,109753,SILVER,Diesel,7-gear automated manual,,26/09/2016 0:00,KOR,,2,2017 HYUNDAI I30 CRDI DCT7,41990,0.257111312,10100,10750,11550,80,KCH256,TMAD281UVHJ124635,A6W51EC5UD5;,5b79b9bb-60b1-4881-a530-2da10035dc78,0,,2023(a),,10/05/2024,A6W51EC5UD5;,0,HYUNDAI,I30,GDE WAGON CRDI DCT,Car(Small): Station wagon,5,5,,Diesel,1582,100,7-gear automated manual,,1940,7,5,2460,76,1064,7,131,1.83,8,8,Based on 2023 UCSR rating for 12-17 models,,safety-star-4.png,8|84||7|86||6|77||5|70||4|63||15|2630||13|2576||24|4887||25|4892||26|4898||27|4906||,44349,,2016,25/09/2016,KOR,,L,24/09/2024,8/08/2024,109753,2,SILVER,,HYUNDAI,I30,GDE WAGON CRDI DCT 1,1.6D/FWD/7AM/SW/5DR/5S,,,
KCH254,2016,HYUNDAI,I30,GDE WAGON CRDI DCT,Car(Small): Station wagon,130160,SILVER,Diesel,7-gear automated manual,,26/09/2016 0:00,KOR,,3,2016 Hyundai i30 GDE WAGON CRDI DCT (A6W51EC5UD),41990,0.250174473,9850,10500,11200,80,KCH254,TMAD281UVGJ117647,A6W51EC5UD5;,f93be874-73b3-436a-9b43-df160246cc2e,0,,2023(a),,13/06/2024,A6W51EC5UD5;,0,HYUNDAI,I30,GDE WAGON CRDI DCT,Car(Small): Station wagon,5,5,,Diesel,1582,100,7-gear automated manual,,1940,7,5,2460,76,1064,7,131,1.83,8,8,Based on 2023 UCSR rating for 12-17 models,,safety-star-4.png,8|84||7|86||6|77||5|70||4|63||15|2630||13|2576||24|4887||25|4892||26|4898||27|4906||,44349,,2016,25/09/2016,KOR,,L,24/09/2024,24/03/2025,130160,3,SILVER,,HYUNDAI,I30,GDE WAGON CRDI DCT 1,1.6D/FWD/7AM/SW/5DR/5S,,,
MKL171,2019,TOYOTA,HILUX,SR TD DC/CC,Pickup / Chassis cab(4x4),65223,BLUE,Diesel,6-gear manual,4WD,3/10/2019 0:00,THA,,1,2019 Toyota Hilux TD SR 4WD (IFDFC),44490,0.616249149,25200,27400,30150,80,MKL171,MR0KA3CDX01234521,IFDFC;,1dfe58ab-09b8-47b7-a44a-66b7ce75f143,0,,2023(a),,13/03/2024,IFDFC;,0,TOYOTA,HILUX,SR TD DC/CC,Pickup / Chassis cab(4x4),5,4,,Diesel,2755,130,6-gear manual,4WD,3000,3,9.3,3670,76,1064,2,243,3.4,10,0,Based on 2019 ANCAP rating for 19+ models,,safety-star-5.png,8|85||7|86||6|79||5|70||4|2339||15|2633||13|4111||24|4886||25|4912||26|4910||27|5285||,49359,,2019,2/10/2019,THA,,L,1/10/2024,4/10/2024,65223,1,BLUE,,TOYOTA,HILUX,SR TD DC/CC 2.8DT,2.8DT/4WD/6MT/CC/4DR/5S,,,
